id,property_id,room_id,minimum_rate,min_stay,min_stay_flexibility,guest_threshold,guests_max,extra_bed_per_person,min_advance,deleted_at
1,PR0761,423204,150000,1,,2,2,200000,,
2,PR0492,397693,305000,1,,2,2,,,
193,PR0767,426197,950000,2,Flexible,6,6,,,
194,PR0731,381226,450000,1,,2,2,,,
195,PR0575,397665,320000,1,,2,2,,,
196,PR0575,433820,350000,1,,2,2,,,
197,PR0575,434668,350000,1,,2,2,,,
198,PR0575,435068,1250000,1,,8,8,,,
199,PR0575,441324,1350000,1,,6,6,,,
200,PR0575,441736,1050000,1,,8,8,,,
201,PR0513,397667,340000,1,,2,2,,,
202,PR0689,396422,900000,2,Flexible,6,6,,,
203,PR0824,463635,1600000,2,Flexible,6,6,,,
204,PR0120,431874,650000,2,Flexible,2,2,,,
205,PR0120,431875,750000,2,Flexible,2,2,,,
206,PR0120,394908,450000,2,Flexible,2,2,,,
207,PR0518,395983,550000,1,,2,2,,,
208,PR0518,428820,700000,1,,2,2,,,
209,PR0757,399304,1150000,1,,5,5,,,
210,PR0557,396423,1200000,2,Strict,8,8,,,
211,PR0782,429575,270000,1,,2,2,,,
212,PR0782,430873,160000,1,,2,2,,,
213,PR0782,431097,1200000,1,,8,8,,,
214,PR0782,432924,1000000,1,,8,8,,,
215,PR0782,442255,260000,1,,2,2,,,
216,PR0782,432934,145000,1,,2,2,,,
217,PR0782,433186,1450000,1,,10,10,,,
218,PR0314,397668,340000,2,Flexible,2,2,,,
219,PR0314,397714,300000,2,Flexible,2,2,,,
220,PR0314,435112,600000,2,Flexible,4,4,,,
221,PR0314,434923,1880000,2,Flexible,12,12,,,
222,PR0519,397670,320000,1,,2,2,,,
223,PR0519,397669,300000,1,,2,2,,,
224,PR0813,460308,450000,1,,2,2,,,
225,PR0813,461653,2250000,1,,10,10,,,
226,PR0722,394910,320000,1,,2,2,,,
227,PR0722,394911,450000,1,,2,2,,,
228,PR0722,394912,950000,1,,6,6,,,
229,PR0722,462285,850000,1,,4,4,,,
230,PR0363,428380,720000,1,,2,2,,,
231,PR0363,397701,675000,1,,2,2,,,
232,PR0363,397673,650000,1,,2,2,,,
233,PR0363,397672,600000,1,,2,2,,,
234,PR0363,397671,720000,1,,4,4,,,
235,PR0363,428381,700000,1,,2,3,240000,,
236,PR0363,428382,4050000,1,,14,15,240000,,
237,PR0502,395992,700000,1,,2,2,100000,,
238,PR0494,397675,300000,2,Flexible with Notes,2,2,,,
239,PR0494,434365,340000,2,Flexible with Notes,2,2,,,
240,PR0773,417770,900000,1,,4,4,,,
241,PR0773,418563,270000,1,,2,2,,,
242,PR0773,432720,1440000,1,,8,8,,,
243,PR0773,433408,540000,1,,4,4,,,
244,PR0371,393207,250000,1,,2,2,,,
245,PR0371,393209,280000,1,,2,2,,,
246,PR0371,393208,1060000,1,,4,4,,,
247,PR0801,462217,2500000,2,Flexible,6,6,,,
248,PR0765,403801,900000,2,Strict,4,4,,,
249,PR0404,397676,515000,1,,2,2,,,
250,PR0404,441267,550000,1,,2,2,,,
251,PR0404,435987,2060000,1,,8,8,,,
252,PR0282,394913,650000,1,,2,2,,,
253,PR0282,394914,700000,1,,2,2,,,
254,PR0282,394915,2600000,1,,2,8,,,
255,PR0282,397165,1300000,1,,2,4,,,
256,PR0510,397677,350000,2,Strict,2,2,,2,
257,PR0366,391680,250000,1,,2,2,,,
258,PR0366,434895,1150000,1,,2,2,,,
259,PR0759,398516,1800000,1,,4,4,,,
260,PR0759,429591,1250000,1,,2,3,400000,,
261,PR0759,429592,1500000,1,,2,3,400000,,
262,PR0759,398517,1100000,1,,2,3,400000,,
263,PR0759,430441,5600000,1,,10,13,400000,,
264,PR0424,399294,1200000,1,,4,4,,,
265,PR0188,398519,675000,1,,2,2,,,
266,PR0630,393191,315000,1,,2,2,,,
267,PR0630,437052,1260000,1,,8,8,,,
268,PR0630,393189,630000,1,,4,4,,,
269,PR0630,395240,2205000,1,,14,14,,,
270,PR0774,414402,960000,2,Flexible,4,4,,,
271,PR0603,391682,900000,1,,8,8,,,
272,PR0603,401383,250000,1,,2,2,,,
273,PR0412,396431,1500000,2,Strict,10,10,,,
274,PR0241,431114,950000,1,,4,4,,,
275,PR0241,398520,815000,1,,2,2,,,
276,PR0637,399296,400000,1,,2,2,,,
277,PR0763,397678,600000,1,,2,2,,,
278,PR0829,467260,560000,1,Flexible,2,2,,,
279,PR0829,467262,875000,1,Flexible,4,4,,,
280,PR0427,393194,640000,1,,2,2,,,
281,PR0427,441730,1280000,1,,4,4,,,
282,PR0838,475544,620000,1,Flexible,2,2,,,
283,PR0242,399305,5500000,2,Strict,6,8,480000,,
284,PR0196,399306,4500000,1,,6,8,400000,,
285,PR0417,396432,1050000,1,,6,6,,,
286,PR0417,472846,1100000,1,,6,6,,,
287,PR0417,464417,2100000,1,,12,12,,,
288,PR0294,378260,300000,1,,2,3,180000,,
289,PR0294,378268,280000,1,,2,2,,,
290,PR0294,378267,320000,1,,2,4,180000,,
291,PR0294,378266,280000,1,,2,2,,,
292,PR0294,378269,600000,1,,4,4,,,
293,PR0294,435784,1250000,1,,8,8,,,
294,PR0720,387369,850000,1,,6,7,125000,,
295,PR0781,426979,230000,1,,2,2,,,
296,PR0781,428650,230000,1,,2,2,,,
297,PR0781,429565,920000,1,,8,8,,,
298,PR0442,397679,340000,1,,2,2,,,
299,PR0442,397680,340000,1,,2,2,,,
300,PR0528,399835,1950000,2,Strict,8,8,,,
301,PR0597,398525,450000,1,,2,2,,,
302,PR0788,436990,1300000,1,Flexible,4,2,,,
303,PR0453,398526,400000,1,,2,2,,,
304,PR0486,399307,900000,1,,6,6,,,
305,PR0787,438956,900000,2,Flexible,4,4,,,
306,PR0553,393197,950000,1,,8,9,180000,,
307,PR0650,398527,300000,2,Flexible,2,2,,,
308,PR0776,415281,850000,2,Flexible,4,4,,,
309,PR0809,461335,1250000,1,Flexible,2,2,,,
310,PR0809,465747,550000,1,Flexible,2,2,,,
311,PR0809,461403,550000,1,Flexible,2,2,,,
312,PR0793,445767,2500000,2,Flexible,8,14,360000,,
313,PR0728,391683,350000,1,,2,2,,,
314,PR0728,426986,650000,1,,2,2,,,
315,PR0791,441585,650000,1,Flexible,2,2,,,
316,PR0791,442568,480000,2,Flexible,2,2,,,
317,PR0791,442584,480000,2,Flexible,2,2,,,
318,PR0057,397689,550000,1,,2,2,,,
319,PR0057,434758,650000,1,,2,2,,,
320,PR0057,397739,3950000,1,,14,14,,,
321,PR0057,443739,1100000,1,,4,4,,,
322,PR0694,394916,475000,1,,2,2,,,
323,PR0254,397690,460000,1,,2,2,,,
324,PR0254,397691,430000,1,,2,2,,,
325,PR0254,406732,430000,1,,2,2,,,
326,PR0254,397720,880000,1,,2,2,,,
327,PR0715,399309,950000,1,,4,4,,,
328,PR0775,420040,1200000,1,,4,4,,,
329,PR0485,397692,360000,1,,2,2,,,
330,PR0115,436733,400000,1,,2,2,,,
331,PR0789,438430,600000,1,,2,2,,,
332,PR0806,455439,800000,1,Flexible,2,2,,,
333,PR0695,396435,1050000,1,,4,4,,,
334,PR0678,396437,1000000,2,Flexible,6,6,,,
335,PR0112,395989,350000,1,,2,2,,,
336,PR0112,417040,1350000,1,,8,8,,,
337,PR0112,441616,700000,1,,4,4,,,
338,PR0778,432921,900000,1,,4,4,,,
339,PR0354,396440,1300000,1,,10,10,,,
340,PR0354,396441,2500000,1,,20,20,,,
341,PR0529,397694,1950000,2,Strict,6,6,,,
342,PR0500,396442,1300000,2,Strict,6,6,,,
343,PR0840,474008,1750000,1,Flexible,4,4,,,
344,PR0768,411420,1400000,2,Flexible,6,6,,,
345,PR0786,440653,1275000,2,Flexible,6,6,,,
346,PR0093,396443,950000,2,Strict,4,4,,,
347,PR0697,387370,1300000,1,,6,6,,,
348,PR0092,399313,850000,1,,4,4,,,
349,PR0830,470100,1500000,1,Flexible,2,2,,,
350,PR0847,476371,1500000,1,Flexible,2,2,,,
351,PR0432,395990,1500000,1,,4,4,,,
352,PR0780,428543,1450000,2,Flexible,4,4,,,
353,PR0805,456279,2500000,2,Flexible,6,6,,,
354,PR0792,446962,790000,3,Strict,2,2,,,
355,PR0792,448188,1250000,3,Strict,4,4,,,
356,PR0792,450699,790000,3,Strict,2,2,,,
357,PR0792,454862,790000,3,Strict,2,2,,,
358,PR0554,391684,280000,1,,2,2,,,
359,PR0554,400077,280000,1,,2,2,,,
360,PR0554,417031,1500000,1,,10,10,,,
361,PR0554,400078,280000,1,,2,2,,,
362,PR0554,459246,280000,1,,2,2,,,
363,PR0704,387373,1000000,1,,6,9,200000,,
364,PR0769,406053,1400000,2,Flexible,2,2,,,
365,PR0769,415122,1750000,2,Flexible,4,4,,,
366,PR0769,424571,1750000,2,Flexible,4,4,,,
367,PR0810,472447,840000,1,,4,4,,,
368,PR0810,473073,2300000,1,,12,12,,,
369,PR0779,440105,2500000,2,Flexible,4,4,,,
370,PR0435,396445,2250000,1,,8,9,360000,,
371,PR0802,453432,650000,1,,2,2,,,
372,PR0088,399303,2200000,1,,6,6,,,
373,PR0088,425903,540000,1,,2,2,,,
374,PR0088,459252,800000,1,,2,2,,,
375,PR0719,396446,1050000,2,Strict,6,6,,,
376,PR0398,393193,180000,1,,2,2,,,
377,PR0398,395715,540000,1,,6,6,,,
378,PR0398,441740,720000,1,,8,8,,,
379,PR0803,458994,1750000,1,,4,4,,,
380,PR0475,397698,350000,1,,2,2,,,
381,PR0475,397699,375000,1,,2,2,,,
382,PR0827,467511,300000,1,,2,2,,,
419,PR0851,484257,1500000,2,Flexible,6,6,,,
669,PR0837,484334,300000,1,Flexible,2,2,,,
670,PR0837,484339,350000,1,Flexible,2,2,,,
671,PR0837,484341,350000,1,Flexible,2,2,,,
672,PR0837,484344,325000,1,Flexible,2,2,,,
673,PR0837,484346,325000,1,Flexible,2,2,,,
902,PR0809,485580,3000000,1,Flexible,6,8,,,
1122,PR0834,485715,1500000,2,Flexible,6,7,,,
1174,PR0852,488211,1600000,2,Flexible,8,8,,,
1272,PR0837,489035,1500000,1,Flexible,10,10,,,
1348,PR0805,488550,2000000,2,Flexible,4,4,,,
1452,PR0861,490859,300000,1,,2,2,,,
1867,PR0864,492256,2500000,1,,4,4,,,
1868,PR0864,492249,1800000,1,,2,2,,,
1869,PR0864,492257,1800000,1,,2,2,,,
1870,PR0864,492258,2500000,1,,4,4,,,
2165,PR0858,492768,1600000,1,Flexible,4,4,,,
2543,PR0728,495385,650000,1,,2,2,,,
2730,PR0781,497676,230000,1,,2,2,,,